,Question_id,total_attempts,correct_attempts,total_attempts_by_u1,correct_attempts_by_u1,total_attempts_by_u3,correct_attempts_by_u3,total_attempts_by_u4,correct_attempts_by_u4,accuracy_of_u1,accuracy_of_u3,accuracy_of_u4,overall_accuracy,individual_q_accuracy,,,,,,,,
645,6572,12,3,12,3,0,0,0,0,0.25,,,0.25,0.25,,,,,,,,
382,4135,8,1,8,1,0,0,0,0,0.125,,,0.125,0.125,,,,,,,,
602,6225,8,4,1,1,0,0,7,3,1,,0.428571429,0.5,0.714285714,,,,,,,,
158,1515,7,5,2,2,0,0,5,3,1,,0.6,0.714285714,0.8,,,,,,,,
310,3225,6,0,0,0,0,0,6,0,,,0,0,0,,,,,,,,
582,6072,6,3,0,0,0,0,6,3,,,0.5,0.5,0.5,,,,,,,,
818,8758,6,3,6,3,0,0,0,0,0.5,,,0.5,0.5,,,,,,,,
44,10850,5,1,5,1,0,0,0,0,0.2,,,0.2,0.2,,,,,,,,
155,150,5,1,2,0,0,0,3,1,0,,0.333333333,0.2,0.166666667,,,,,,,,
416,4517,5,3,4,2,0,0,1,1,0.5,,1,0.6,0.75,,,,,,,,
562,588,5,2,0,0,0,0,5,2,,,0.4,0.4,0.4,,,,,,,,
688,6872,5,2,4,1,0,0,1,1,0.25,,1,0.4,0.625,,,,,,,,
689,6876,5,2,0,0,0,0,5,2,,,0.4,0.4,0.4,,,,,,,,
743,767,5,3,1,1,0,0,4,2,1,,0.5,0.6,0.75,,,,,,,,
80,11259,4,3,1,1,0,0,3,2,1,,0.666666667,0.75,0.833333333,,,,,,,,
198,1731,4,0,3,0,0,0,1,0,0,,0,0,0,,,,,,,accuracy of u1,0.631849315
250,2187,4,3,0,0,0,0,4,3,,,0.75,0.75,0.75,,,,,,,accuracy of u3,0.375
265,2457,4,3,0,0,0,0,4,3,,,0.75,0.75,0.75,,,,,,,accuracy of u4,0.679830748
314,3270,4,4,0,0,0,0,4,4,,,1,1,1,,,,,,,overall accuracy,0.65641814
334,3672,4,2,4,2,0,0,0,0,0.5,,,0.5,0.5,,,,,,,,
363,3968,4,1,0,0,0,0,4,1,,,0.25,0.25,0.25,,,,,,,,
405,4476,4,4,1,1,0,0,3,3,1,,1,1,1,,,,,,,,
462,5071,4,3,2,1,0,0,2,2,0.5,,1,0.75,0.75,,,,,,,,
465,5094,4,2,0,0,0,0,4,2,,,0.5,0.5,0.5,,,,,,,,
527,5638,4,2,0,0,0,0,4,2,,,0.5,0.5,0.5,,,,,,,,
549,5758,4,2,1,0,0,0,3,2,0,,0.666666667,0.5,0.333333333,,,,,,,,
589,6127,4,2,1,0,0,0,3,2,0,,0.666666667,0.5,0.333333333,,,,,,,,
637,6543,4,1,1,0,0,0,3,1,0,,0.333333333,0.25,0.166666667,,,,,,,,
643,6568,4,4,1,1,0,0,3,3,1,,1,1,1,,,,,,,,
715,7051,4,0,0,0,0,0,4,0,,,0,0,0,,,,,,,,
764,8065,4,3,3,2,0,0,1,1,0.666666667,,1,0.75,0.833333333,,,,,,,,
848,9331,4,3,0,0,0,0,4,3,,,0.75,0.75,0.75,,,,,,,,
849,9352,4,2,4,2,0,0,0,0,0.5,,,0.5,0.5,,,,,,,,
868,9695,4,2,0,0,0,0,4,2,,,0.5,0.5,0.5,,,,,,,,
8,10032,3,1,2,0,0,0,1,1,0,,1,0.333333333,0.5,,,,,,,,
9,10033,3,0,1,0,0,0,2,0,0,,0,0,0,,,,,,,,
10,10045,3,1,2,1,0,0,1,0,0.5,,0,0.333333333,0.25,,,,,,,,
13,10070,3,2,0,0,0,0,3,2,,,0.666666667,0.666666667,0.666666667,,,,,,,,
24,10320,3,2,0,0,0,0,3,2,,,0.666666667,0.666666667,0.666666667,,,,,,,,
79,11249,3,3,1,1,0,0,2,2,1,,1,1,1,,,,,,,,
113,11934,3,1,0,0,0,0,3,1,,,0.333333333,0.333333333,0.333333333,,,,,,,,
124,1250,3,0,0,0,0,0,3,0,,,0,0,0,,,,,,,,
131,1310,3,0,2,0,0,0,1,0,0,,0,0,0,,,,,,,,
152,1461,3,3,1,1,0,0,2,2,1,,1,1,1,,,,,,,,
156,1509,3,2,0,0,0,0,3,2,,,0.666666667,0.666666667,0.666666667,,,,,,,,
172,1635,3,3,0,0,0,0,3,3,,,1,1,1,,,,,,,,
173,1641,3,2,1,1,0,0,2,1,1,,0.5,0.666666667,0.75,,,,,,,,
200,17367,3,1,0,0,0,0,3,1,,,0.333333333,0.333333333,0.333333333,,,,,,,,
208,1764,3,1,1,0,0,0,2,1,0,,0.5,0.333333333,0.25,,,,,,,,
221,187,3,2,2,1,0,0,1,1,0.5,,1,0.666666667,0.75,,,,,,,,
228,1941,3,3,0,0,0,0,3,3,,,1,1,1,,,,,,,,
254,2256,3,3,0,0,0,0,3,3,,,1,1,1,,,,,,,,
293,2943,3,2,1,1,0,0,2,1,1,,0.5,0.666666667,0.75,,,,,,,,
315,3276,3,1,0,0,0,0,3,1,,,0.333333333,0.333333333,0.333333333,,,,,,,,
329,3576,3,3,0,0,0,0,3,3,,,1,1,1,,,,,,,,
335,3691,3,2,1,1,0,0,2,1,1,,0.5,0.666666667,0.75,,,,,,,,
348,3806,3,2,1,1,0,0,2,1,1,,0.5,0.666666667,0.75,,,,,,,,
354,3911,3,2,1,0,0,0,2,2,0,,1,0.666666667,0.5,,,,,,,,
357,3935,3,1,1,0,0,0,2,1,0,,0.5,0.333333333,0.25,,,,,,,,
368,4020,3,3,0,0,0,0,3,3,,,1,1,1,,,,,,,,
370,4031,3,2,2,1,0,0,1,1,0.5,,1,0.666666667,0.75,,,,,,,,
379,4122,3,2,2,1,0,0,1,1,0.5,,1,0.666666667,0.75,,,,,,,,
407,4479,3,1,0,0,0,0,3,1,,,0.333333333,0.333333333,0.333333333,,,,,,,,
413,4497,3,1,0,0,0,0,3,1,,,0.333333333,0.333333333,0.333333333,,,,,,,,
418,4527,3,2,1,1,0,0,2,1,1,,0.5,0.666666667,0.75,,,,,,,,
425,4582,3,2,0,0,0,0,3,2,,,0.666666667,0.666666667,0.666666667,,,,,,,,
